2018-09-23 22:25:11,136 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(110) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=IBM, accountId=201, accountType=I, eodQuantity=-100000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=IBM, accountId=101, accountType=E, eodQuantity=100000, deltaQuantity=null]} 
2018-09-23 22:25:11,136 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(114) | SOD Position DO Map for EOD : {201I=OpeningPositionDO [transactionSeq=2, instrumentName=IBM, accountId=201, accountType=I, openingQuantity=-100000], 101E=OpeningPositionDO [transactionSeq=2, instrumentName=IBM, accountId=101, accountType=E, openingQuantity=100000]} 
2018-09-23 22:25:11,258 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(139) | Leaving processTransaction() 
2018-09-23 22:25:11,259 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(41) | Entering processTransaction() for EndOfDayPositionDO [transactionSeq=4, instrumentName=MSFT, accountId=null, accountType=null, eodQuantity=null, deltaQuantity=null] 
2018-09-23 22:25:11,349 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(56) | OpeningPositionDO List for EOD : [OpeningPositionDO [transactionSeq=2, instrumentName=MSFT, accountId=101, accountType=E, openingQuantity=5000000], OpeningPositionDO [transactionSeq=2, instrumentName=MSFT, accountId=201, accountType=I, openingQuantity=-5000000]] 
2018-09-23 22:25:11,350 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(73) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=MSFT, accountId=201, accountType=I, eodQuantity=-5000000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=MSFT, accountId=101, accountType=E, eodQuantity=5000000, deltaQuantity=null]} 
2018-09-23 22:25:11,350 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(79) | EOD key set to be processed : [201I, 101E] 
2018-09-23 22:25:11,350 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(110) | EOD Position DO Map for EOD : {201I=EndOfDayPositionDO [transactionSeq=4, instrumentName=MSFT, accountId=201, accountType=I, eodQuantity=-5000000, deltaQuantity=null], 101E=EndOfDayPositionDO [transactionSeq=4, instrumentName=MSFT, accountId=101, accountType=E, eodQuantity=5000000, deltaQuantity=null]} 
2018-09-23 22:25:11,351 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(114) | SOD Position DO Map for EOD : {201I=OpeningPositionDO [transactionSeq=2, instrumentName=MSFT, accountId=201, accountType=I, openingQuantity=-5000000], 101E=OpeningPositionDO [transactionSeq=2, instrumentName=MSFT, accountId=101, accountType=E, openingQuantity=5000000]} 
2018-09-23 22:25:11,463 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.EODProcessorImpl:processTransaction(139) | Leaving processTransaction() 
